transaction_id,amount,transaction_hour,merchant_category,foreign_transaction,location_mismatch,device_trust_score,velocity_last_24h,cardholder_age,is_fraud,fraud_status,transaction_time_period,amount_category,age_group,device_risk_category,velocity_category,transaction_location,location_status
42,123.04,22,Food,0,1,36,3,62,0,Legitimate,Evening,Medium,56+,"High Risk","Low Velocity",Domestic,"Location Mismatch"
43,6.3,11,Clothing,0,0,86,3,22,0,Legitimate,Morning,Low,18-25,"Low Risk","Low Velocity",Domestic,"Location Matched"
44,432.08,21,Clothing,0,1,86,0,61,0,Legitimate,Evening,High,56+,"Low Risk","Low Velocity",Domestic,"Location Mismatch"
45,53.9,16,Grocery,0,0,94,2,34,0,Legitimate,Afternoon,Medium,26-35,"Low Risk","Low Velocity",Domestic,"Location Matched"
46,195.53,1,Grocery,0,0,39,3,46,0,Legitimate,Night,Medium,46-55,"High Risk","Low Velocity",Domestic,"Location Matched"
47,67.24,12,Electronics,0,0,31,3,38,0,Legitimate,Afternoon,Medium,36-45,"High Risk","Low Velocity",Domestic,"Location Matched"
48,132.14,0,Clothing,0,0,30,2,23,0,Legitimate,Night,Medium,18-25,"High Risk","Low Velocity",Domestic,"Location Matched"
49,142.42,18,Travel,0,1,51,2,41,0,Legitimate,Evening,Medium,36-45,"Medium Risk","Low Velocity",Domestic,"Location Mismatch"
50,36.79,10,Grocery,0,0,26,1,66,0,Legitimate,Morning,Low,56+,"High Risk","Low Velocity",Domestic,"Location Matched"
51,628.71,4,Clothing,0,0,30,4,45,0,Legitimate,Night,"Very High",36-45,"High Risk","Medium Velocity",Domestic,"Location Matched"
52,268.6,0,Food,0,0,85,1,34,0,Legitimate,Night,High,26-35,"Low Risk","Low Velocity",Domestic,"Location Matched"
53,504.92,19,Electronics,0,0,56,1,59,0,Legitimate,Evening,"Very High",56+,"Medium Risk","Low Velocity",Domestic,"Location Matched"
54,405.39,12,Grocery,0,0,53,0,39,0,Legitimate,Afternoon,High,36-45,"Medium Risk","Low Velocity",Domestic,"Location Matched"
55,163.99,7,Grocery,0,0,89,2,41,0,Legitimate,Morning,Medium,36-45,"Low Risk","Low Velocity",Domestic,"Location Matched"
56,458.9,5,Travel,0,0,39,1,57,0,Legitimate,Night,High,56+,"High Risk","Low Velocity",Domestic,"Location Matched"
57,16.68,16,Grocery,0,0,34,1,35,0,Legitimate,Afternoon,Low,26-35,"High Risk","Low Velocity",Domestic,"Location Matched"
58,39.26,11,Clothing,1,1,34,3,45,1,Fraud,Morning,Low,36-45,"High Risk","Low Velocity",Foreign,"Location Mismatch"
59,8.33,0,Clothing,0,0,34,2,27,0,Legitimate,Night,Low,26-35,"High Risk","Low Velocity",Domestic,"Location Matched"
60,70.84,2,Clothing,0,0,61,4,18,0,Legitimate,Night,Medium,18-25,"Medium Risk","Medium Velocity",Domestic,"Location Matched"
61,88.58,13,Food,0,0,56,0,54,0,Legitimate,Afternoon,Medium,46-55,"Medium Risk","Low Velocity",Domestic,"Location Matched"
62,56.98,7,Food,1,0,60,2,43,0,Legitimate,Morning,Medium,36-45,"Medium Risk","Low Velocity",Foreign,"Location Matched"
63,317.62,10,Grocery,0,0,88,1,67,0,Legitimate,Morning,High,56+,"Low Risk","Low Velocity",Domestic,"Location Matched"
64,79.42,13,Food,0,0,39,3,43,0,Legitimate,Afternoon,Medium,36-45,"High Risk","Low Velocity",Domestic,"Location Matched"
65,59.36,7,Food,0,0,97,1,50,0,Legitimate,Morning,Medium,46-55,"Low Risk","Low Velocity",Domestic,"Location Matched"
66,140.83,2,Travel,0,0,40,2,26,0,Legitimate,Night,Medium,26-35,"Medium Risk","Low Velocity",Domestic,"Location Matched"
67,27.34,6,Food,0,0,70,2,35,0,Legitimate,Morning,Low,26-35,"Low Risk","Low Velocity",Domestic,"Location Matched"
68,291.69,18,Electronics,1,1,68,1,22,0,Legitimate,Evening,High,18-25,"Medium Risk","Low Velocity",Foreign,"Location Mismatch"
69,13.95,3,Electronics,0,0,59,1,39,0,Legitimate,Night,Low,36-45,"Medium Risk","Low Velocity",Domestic,"Location Matched"
70,780.15,15,Electronics,0,0,75,3,27,0,Legitimate,Afternoon,"Very High",26-35,"Low Risk","Low Velocity",Domestic,"Location Matched"
71,266.31,12,Grocery,0,0,82,2,31,0,Legitimate,Afternoon,High,26-35,"Low Risk","Low Velocity",Domestic,"Location Matched"
72,39.88,19,Clothing,0,0,29,1,29,0,Legitimate,Evening,Low,26-35,"High Risk","Low Velocity",Domestic,"Location Matched"
73,1,18,Travel,0,1,62,2,49,0,Legitimate,Evening,Low,46-55,"Medium Risk","Low Velocity",Domestic,"Location Mismatch"
74,304.18,4,Grocery,0,0,30,1,56,0,Legitimate,Night,High,56+,"High Risk","Low Velocity",Domestic,"Location Matched"
75,220.88,22,Clothing,0,1,75,1,62,0,Legitimate,Evening,High,56+,"Low Risk","Low Velocity",Domestic,"Location Mismatch"
76,235.02,4,Travel,0,1,38,2,53,0,Legitimate,Night,High,46-55,"High Risk","Low Velocity",Domestic,"Location Mismatch"
77,265.54,19,Travel,0,0,72,0,68,0,Legitimate,Evening,High,56+,"Low Risk","Low Velocity",Domestic,"Location Matched"
78,13.85,23,Travel,0,0,36,4,67,0,Legitimate,Evening,Low,56+,"High Risk","Medium Velocity",Domestic,"Location Matched"
79,79.9,3,Electronics,0,0,76,4,64,0,Legitimate,Night,Medium,56+,"Low Risk","Medium Velocity",Domestic,"Location Matched"
80,22.17,1,Electronics,0,0,92,1,32,0,Legitimate,Night,Low,26-35,"Low Risk","Low Velocity",Domestic,"Location Matched"
81,357.94,12,Electronics,0,0,83,3,50,0,Legitimate,Afternoon,High,46-55,"Low Risk","Low Velocity",Domestic,"Location Matched"
82,175.73,15,Travel,0,1,42,0,33,0,Legitimate,Afternoon,Medium,26-35,"Medium Risk","Low Velocity",Domestic,"Location Mismatch"
83,72.33,21,Travel,1,0,77,1,21,0,Legitimate,Evening,Medium,18-25,"Low Risk","Low Velocity",Foreign,"Location Matched"
84,11.82,1,Electronics,0,0,55,1,68,0,Legitimate,Night,Low,56+,"Medium Risk","Low Velocity",Domestic,"Location Matched"
85,67.05,18,Travel,0,0,59,3,20,0,Legitimate,Evening,Medium,18-25,"Medium Risk","Low Velocity",Domestic,"Location Matched"
86,70.8,16,Electronics,0,0,28,2,43,0,Legitimate,Afternoon,Medium,36-45,"High Risk","Low Velocity",Domestic,"Location Matched"
87,235.42,4,Electronics,0,0,33,0,54,0,Legitimate,Night,High,46-55,"High Risk","Low Velocity",Domestic,"Location Matched"
88,182.68,17,Electronics,1,0,39,0,51,0,Legitimate,Afternoon,Medium,46-55,"High Risk","Low Velocity",Foreign,"Location Matched"
89,392.81,22,Clothing,0,0,66,4,59,0,Legitimate,Evening,High,56+,"Medium Risk","Medium Velocity",Domestic,"Location Matched"
90,115.03,20,Travel,0,0,83,1,26,0,Legitimate,Evening,Medium,26-35,"Low Risk","Low Velocity",Domestic,"Location Matched"
91,22.93,17,Grocery,0,0,97,1,61,0,Legitimate,Afternoon,Low,56+,"Low Risk","Low Velocity",Domestic,"Location Matched"
92,224.84,7,Electronics,0,0,56,0,31,0,Legitimate,Morning,High,26-35,"Medium Risk","Low Velocity",Domestic,"Location Matched"
93,257.47,14,Grocery,0,0,69,2,64,0,Legitimate,Afternoon,High,56+,"Medium Risk","Low Velocity",Domestic,"Location Matched"
94,148.3,12,Clothing,0,0,29,1,50,0,Legitimate,Afternoon,Medium,46-55,"High Risk","Low Velocity",Domestic,"Location Matched"
95,265.3,12,Travel,0,1,55,4,65,0,Legitimate,Afternoon,High,56+,"Medium Risk","Medium Velocity",Domestic,"Location Mismatch"
96,122.55,15,Electronics,0,0,49,1,55,0,Legitimate,Afternoon,Medium,46-55,"Medium Risk","Low Velocity",Domestic,"Location Matched"
97,133.14,21,Electronics,0,0,80,2,22,0,Legitimate,Evening,Medium,18-25,"Low Risk","Low Velocity",Domestic,"Location Matched"
98,100.41,19,Electronics,0,0,25,2,68,0,Legitimate,Evening,Medium,56+,"High Risk","Low Velocity",Domestic,"Location Matched"
99,4.63,12,Grocery,0,0,85,0,64,0,Legitimate,Afternoon,Low,56+,"Low Risk","Low Velocity",Domestic,"Location Matched"
100,20.55,19,Clothing,0,0,91,3,45,0,Legitimate,Evening,Low,36-45,"Low Risk","Low Velocity",Domestic,"Location Matched"
101,5.75,1,Travel,0,0,91,1,50,0,Legitimate,Night,Low,46-55,"Low Risk","Low Velocity",Domestic,"Location Matched"
102,182.11,2,Clothing,0,0,66,3,34,0,Legitimate,Night,Medium,26-35,"Medium Risk","Low Velocity",Domestic,"Location Matched"
103,67.93,14,Electronics,0,0,83,3,38,0,Legitimate,Afternoon,Medium,36-45,"Low Risk","Low Velocity",Domestic,"Location Matched"
104,127.88,22,Clothing,0,0,74,2,24,0,Legitimate,Evening,Medium,18-25,"Low Risk","Low Velocity",Domestic,"Location Matched"
105,428.63,18,Grocery,0,0,58,2,57,0,Legitimate,Evening,High,56+,"Medium Risk","Low Velocity",Domestic,"Location Matched"
106,51.61,12,Food,0,0,92,4,52,0,Legitimate,Afternoon,Medium,46-55,"Low Risk","Medium Velocity",Domestic,"Location Matched"
107,95.09,4,Food,0,1,78,6,24,0,Legitimate,Night,Medium,18-25,"Low Risk","Medium Velocity",Domestic,"Location Mismatch"
108,253.57,21,Travel,0,1,38,2,25,0,Legitimate,Evening,High,18-25,"High Risk","Low Velocity",Domestic,"Location Mismatch"
109,46.76,5,Travel,0,0,56,3,68,0,Legitimate,Night,Low,56+,"Medium Risk","Low Velocity",Domestic,"Location Matched"
110,14.42,13,Clothing,1,0,94,0,61,0,Legitimate,Afternoon,Low,56+,"Low Risk","Low Velocity",Foreign,"Location Matched"
111,61.59,3,Travel,0,0,32,0,59,0,Legitimate,Night,Medium,56+,"High Risk","Low Velocity",Domestic,"Location Matched"
112,31.65,21,Grocery,0,0,59,1,48,0,Legitimate,Evening,Low,46-55,"Medium Risk","Low Velocity",Domestic,"Location Matched"
113,477.89,18,Electronics,0,0,48,3,22,0,Legitimate,Evening,High,18-25,"Medium Risk","Low Velocity",Domestic,"Location Matched"
114,297.16,22,Electronics,0,0,27,2,22,0,Legitimate,Evening,High,18-25,"High Risk","Low Velocity",Domestic,"Location Matched"
115,180.63,6,Clothing,0,0,60,3,41,0,Legitimate,Morning,Medium,36-45,"Medium Risk","Low Velocity",Domestic,"Location Matched"
116,369.27,3,Electronics,1,0,75,1,39,0,Legitimate,Night,High,36-45,"Low Risk","Low Velocity",Foreign,"Location Matched"
117,293.03,1,Clothing,0,0,81,4,61,0,Legitimate,Night,High,56+,"Low Risk","Medium Velocity",Domestic,"Location Matched"
118,37.17,6,Travel,1,0,83,4,30,0,Legitimate,Morning,Low,26-35,"Low Risk","Medium Velocity",Foreign,"Location Matched"
119,401.55,2,Travel,0,0,46,1,39,0,Legitimate,Night,High,36-45,"Medium Risk","Low Velocity",Domestic,"Location Matched"
120,139.52,14,Grocery,0,0,61,0,43,0,Legitimate,Afternoon,Medium,36-45,"Medium Risk","Low Velocity",Domestic,"Location Matched"
121,296.52,0,Electronics,0,0,99,3,18,0,Legitimate,Night,High,18-25,"Low Risk","Low Velocity",Domestic,"Location Matched"
122,407.56,1,Grocery,1,0,36,2,34,1,Fraud,Night,High,26-35,"High Risk","Low Velocity",Foreign,"Location Matched"
123,68.89,9,Food,0,0,45,0,36,0,Legitimate,Morning,Medium,36-45,"Medium Risk","Low Velocity",Domestic,"Location Matched"
124,20.99,15,Grocery,1,1,39,2,19,1,Fraud,Afternoon,Low,18-25,"High Risk","Low Velocity",Foreign,"Location Mismatch"
125,46.56,14,Clothing,0,0,36,4,67,0,Legitimate,Afternoon,Low,56+,"High Risk","Medium Velocity",Domestic,"Location Matched"
126,100.27,23,Clothing,0,0,80,5,69,0,Legitimate,Evening,Medium,56+,"Low Risk","Medium Velocity",Domestic,"Location Matched"
127,306.69,14,Grocery,0,0,40,5,28,0,Legitimate,Afternoon,High,26-35,"Medium Risk","Medium Velocity",Domestic,"Location Matched"
128,354.84,13,Travel,0,0,57,4,47,0,Legitimate,Afternoon,High,46-55,"Medium Risk","Medium Velocity",Domestic,"Location Matched"
129,1.26,21,Food,0,1,67,2,63,0,Legitimate,Evening,Low,56+,"Medium Risk","Low Velocity",Domestic,"Location Mismatch"
130,128.68,13,Grocery,0,1,73,4,40,0,Legitimate,Afternoon,Medium,36-45,"Low Risk","Medium Velocity",Domestic,"Location Mismatch"
131,97.25,5,Travel,1,0,42,1,32,0,Legitimate,Night,Medium,26-35,"Medium Risk","Low Velocity",Foreign,"Location Matched"
132,45.21,13,Grocery,0,0,40,2,40,0,Legitimate,Afternoon,Low,36-45,"Medium Risk","Low Velocity",Domestic,"Location Matched"
133,22.98,16,Electronics,1,1,64,3,29,0,Legitimate,Afternoon,Low,26-35,"Medium Risk","Low Velocity",Foreign,"Location Mismatch"
134,74.14,17,Clothing,0,0,91,1,44,0,Legitimate,Afternoon,Medium,36-45,"Low Risk","Low Velocity",Domestic,"Location Matched"
135,515.36,19,Electronics,0,1,86,1,23,0,Legitimate,Evening,"Very High",18-25,"Low Risk","Low Velocity",Domestic,"Location Mismatch"
136,70.27,18,Electronics,0,0,51,2,47,0,Legitimate,Evening,Medium,46-55,"Medium Risk","Low Velocity",Domestic,"Location Matched"
137,131.66,16,Food,0,0,38,3,22,0,Legitimate,Afternoon,Medium,18-25,"High Risk","Low Velocity",Domestic,"Location Matched"
138,218.54,15,Travel,0,0,90,0,63,0,Legitimate,Afternoon,High,56+,"Low Risk","Low Velocity",Domestic,"Location Matched"
139,81.36,7,Clothing,1,0,51,4,55,0,Legitimate,Morning,Medium,46-55,"Medium Risk","Medium Velocity",Foreign,"Location Matched"
140,642.2,6,Electronics,0,0,78,1,52,0,Legitimate,Morning,"Very High",46-55,"Low Risk","Low Velocity",Domestic,"Location Matched"
141,590.76,19,Clothing,1,0,84,3,23,0,Legitimate,Evening,"Very High",18-25,"Low Risk","Low Velocity",Foreign,"Location Matched"
142,52.21,11,Travel,0,0,64,2,31,0,Legitimate,Morning,Medium,26-35,"Medium Risk","Low Velocity",Domestic,"Location Matched"
143,123.78,8,Grocery,0,0,69,1,69,0,Legitimate,Morning,Medium,56+,"Medium Risk","Low Velocity",Domestic,"Location Matched"
144,64.43,13,Electronics,0,0,92,1,67,0,Legitimate,Afternoon,Medium,56+,"Low Risk","Low Velocity",Domestic,"Location Matched"
145,60.34,19,Travel,0,0,92,2,34,0,Legitimate,Evening,Medium,26-35,"Low Risk","Low Velocity",Domestic,"Location Matched"
146,6.77,0,Clothing,0,0,87,2,26,0,Legitimate,Night,Low,26-35,"Low Risk","Low Velocity",Domestic,"Location Matched"
147,169.29,9,Travel,0,0,64,3,57,0,Legitimate,Morning,Medium,56+,"Medium Risk","Low Velocity",Domestic,"Location Matched"
148,125.73,16,Grocery,0,0,65,1,48,0,Legitimate,Afternoon,Medium,46-55,"Medium Risk","Low Velocity",Domestic,"Location Matched"
149,9.51,16,Travel,0,0,85,5,53,0,Legitimate,Afternoon,Low,46-55,"Low Risk","Medium Velocity",Domestic,"Location Matched"
150,58.79,16,Clothing,0,0,89,1,27,0,Legitimate,Afternoon,Medium,26-35,"Low Risk","Low Velocity",Domestic,"Location Matched"
151,429.99,3,Electronics,0,0,25,2,44,0,Legitimate,Night,High,36-45,"High Risk","Low Velocity",Domestic,"Location Matched"
152,49.29,16,Electronics,0,0,33,7,66,0,Legitimate,Afternoon,Low,56+,"High Risk","Medium Velocity",Domestic,"Location Matched"
153,28.18,17,Food,0,0,99,4,69,0,Legitimate,Afternoon,Low,56+,"Low Risk","Medium Velocity",Domestic,"Location Matched"
154,121.01,19,Clothing,1,0,39,3,22,0,Legitimate,Evening,Medium,18-25,"High Risk","Low Velocity",Foreign,"Location Matched"
155,763.93,22,Food,0,0,83,1,34,0,Legitimate,Evening,"Very High",26-35,"Low Risk","Low Velocity",Domestic,"Location Matched"
156,49.89,1,Food,0,0,90,0,48,0,Legitimate,Night,Low,46-55,"Low Risk","Low Velocity",Domestic,"Location Matched"
157,200.73,7,Grocery,0,0,34,1,31,0,Legitimate,Morning,High,26-35,"High Risk","Low Velocity",Domestic,"Location Matched"
158,258.1,12,Clothing,0,0,73,2,40,0,Legitimate,Afternoon,High,36-45,"Low Risk","Low Velocity",Domestic,"Location Matched"
159,48.84,22,Electronics,0,0,35,1,61,0,Legitimate,Evening,Low,56+,"High Risk","Low Velocity",Domestic,"Location Matched"
160,234.49,21,Clothing,0,0,54,2,46,0,Legitimate,Evening,High,46-55,"Medium Risk","Low Velocity",Domestic,"Location Matched"
161,82.53,19,Grocery,1,0,47,3,56,0,Legitimate,Evening,Medium,56+,"Medium Risk","Low Velocity",Foreign,"Location Matched"
162,180.09,21,Clothing,1,0,46,1,32,0,Legitimate,Evening,Medium,26-35,"Medium Risk","Low Velocity",Foreign,"Location Matched"
163,180.69,14,Clothing,0,1,75,2,64,0,Legitimate,Afternoon,Medium,56+,"Low Risk","Low Velocity",Domestic,"Location Mismatch"
164,138.13,19,Food,0,0,66,3,29,0,Legitimate,Evening,Medium,26-35,"Medium Risk","Low Velocity",Domestic,"Location Matched"
165,17.03,22,Clothing,0,0,53,0,50,0,Legitimate,Evening,Low,46-55,"Medium Risk","Low Velocity",Domestic,"Location Matched"
166,324.66,8,Food,0,0,69,1,57,0,Legitimate,Morning,High,56+,"Medium Risk","Low Velocity",Domestic,"Location Matched"
167,69.63,2,Food,0,0,57,0,47,0,Legitimate,Night,Medium,46-55,"Medium Risk","Low Velocity",Domestic,"Location Matched"
168,37.16,2,Travel,0,0,63,6,39,0,Legitimate,Night,Low,36-45,"Medium Risk","Medium Velocity",Domestic,"Location Matched"
169,7.49,1,Grocery,0,0,97,1,47,0,Legitimate,Night,Low,46-55,"Low Risk","Low Velocity",Domestic,"Location Matched"
170,160.88,0,Food,0,0,89,2,49,0,Legitimate,Night,Medium,46-55,"Low Risk","Low Velocity",Domestic,"Location Matched"
171,203.73,13,Clothing,0,0,74,3,37,0,Legitimate,Afternoon,High,36-45,"Low Risk","Low Velocity",Domestic,"Location Matched"
172,3.01,16,Food,0,0,72,0,55,0,Legitimate,Afternoon,Low,46-55,"Low Risk","Low Velocity",Domestic,"Location Matched"
173,129.17,12,Food,0,0,61,3,37,0,Legitimate,Afternoon,Medium,36-45,"Medium Risk","Low Velocity",Domestic,"Location Matched"
174,46.23,18,Food,1,1,57,2,19,0,Legitimate,Evening,Low,18-25,"Medium Risk","Low Velocity",Foreign,"Location Mismatch"
175,186.5,22,Electronics,0,0,30,2,48,0,Legitimate,Evening,Medium,46-55,"High Risk","Low Velocity",Domestic,"Location Matched"
176,34.49,14,Electronics,0,0,94,2,67,0,Legitimate,Afternoon,Low,56+,"Low Risk","Low Velocity",Domestic,"Location Matched"
177,211.36,13,Electronics,0,0,79,1,45,0,Legitimate,Afternoon,High,36-45,"Low Risk","Low Velocity",Domestic,"Location Matched"
178,88.01,1,Electronics,0,1,68,0,20,0,Legitimate,Night,Medium,18-25,"Medium Risk","Low Velocity",Domestic,"Location Mismatch"
179,496.86,6,Travel,0,1,74,4,37,0,Legitimate,Morning,High,36-45,"Low Risk","Medium Velocity",Domestic,"Location Mismatch"
180,26.63,16,Food,0,0,78,2,52,0,Legitimate,Afternoon,Low,46-55,"Low Risk","Low Velocity",Domestic,"Location Matched"
181,75.08,17,Travel,0,0,87,4,36,0,Legitimate,Afternoon,Medium,36-45,"Low Risk","Medium Velocity",Domestic,"Location Matched"
182,21.68,5,Clothing,0,0,40,3,23,0,Legitimate,Night,Low,18-25,"Medium Risk","Low Velocity",Domestic,"Location Matched"
183,465.51,20,Grocery,0,0,71,5,28,0,Legitimate,Evening,High,26-35,"Low Risk","Medium Velocity",Domestic,"Location Matched"
184,377.7,7,Travel,1,0,81,2,62,0,Legitimate,Morning,High,56+,"Low Risk","Low Velocity",Foreign,"Location Matched"
185,53.7,1,Electronics,0,0,26,3,23,0,Legitimate,Night,Medium,18-25,"High Risk","Low Velocity",Domestic,"Location Matched"
186,194.18,0,Electronics,0,0,61,3,35,0,Legitimate,Night,Medium,26-35,"Medium Risk","Low Velocity",Domestic,"Location Matched"
187,305.91,15,Clothing,0,0,47,4,64,0,Legitimate,Afternoon,High,56+,"Medium Risk","Medium Velocity",Domestic,"Location Matched"
188,145.82,6,Food,0,0,37,1,31,0,Legitimate,Morning,Medium,26-35,"High Risk","Low Velocity",Domestic,"Location Matched"
189,135.77,21,Grocery,1,0,89,4,31,0,Legitimate,Evening,Medium,26-35,"Low Risk","Medium Velocity",Foreign,"Location Matched"
190,49.84,23,Travel,0,0,72,2,18,0,Legitimate,Evening,Low,18-25,"Low Risk","Low Velocity",Domestic,"Location Matched"
191,17.59,10,Food,0,0,31,1,34,0,Legitimate,Morning,Low,26-35,"High Risk","Low Velocity",Domestic,"Location Matched"
192,409.52,14,Food,0,0,55,2,31,0,Legitimate,Afternoon,High,26-35,"Medium Risk","Low Velocity",Domestic,"Location Matched"
193,415.22,12,Travel,1,0,87,2,48,0,Legitimate,Afternoon,High,46-55,"Low Risk","Low Velocity",Foreign,"Location Matched"
194,180.48,23,Travel,0,0,69,4,62,0,Legitimate,Evening,Medium,56+,"Medium Risk","Medium Velocity",Domestic,"Location Matched"
195,74.53,1,Travel,0,0,80,3,27,0,Legitimate,Night,Medium,26-35,"Low Risk","Low Velocity",Domestic,"Location Matched"
196,77.32,13,Travel,0,0,88,3,55,0,Legitimate,Afternoon,Medium,46-55,"Low Risk","Low Velocity",Domestic,"Location Matched"
197,233,23,Electronics,0,0,46,0,50,0,Legitimate,Evening,High,46-55,"Medium Risk","Low Velocity",Domestic,"Location Matched"
198,409.34,5,Food,0,0,87,2,22,0,Legitimate,Night,High,18-25,"Low Risk","Low Velocity",Domestic,"Location Matched"
